totalRequisicoes,tamanhoMedio,desalocadas,mediaDesalocacao,tempoExecucao,falhas,desfragmentacoes
100000,131,99987,0,396,0,2
100000,131,99988,0,376,0,1
10000,131,9997,0,38,1,1
1000,131,985,0,32,0,0
1000,133,983,0,14,0,0
1000,131,986,0,125663,0,0
10,120,9,0,199204,0,3
1000,131,986,0,170060,0,0
1000,129,985,0,16,0,0
1000,130,828,0,31,0,0
1000,129,983,0,16,0,0
1000,130,980,0,31,0,0
1000,130,0,0,109,0,0
100000,131,98205,0,17185,0,0
100000,131,0,0,1001488,0,0
100000,131,0,0,19,0,0
1000000,131,0,0,74,0,0
30000000,131,0,0,4231,0,0
100000,131,0,0,18,0,0
1000000,131,0,0,130,0,0
100000,131,98091,0,13564,0,0
100000,131,0,0,234581,0,0
10000,131,8384,0,1234,0,0
10000,130,8424,0,1215,0,0
